,time,open,high,low,close,tick_volume,spread,real_volume
2320,2023-09-20 23:30:00,1930.84,1930.96,1929.16,1929.6,554,26,0
2321,2023-09-20 23:45:00,1929.59,1930.39,1929.02,1930.22,446,32,0
2322,2023-09-21 01:00:00,1930.24,1930.87,1929.41,1930.31,541,26,0
2323,2023-09-21 01:15:00,1930.31,1931.4,1929.64,1931.07,415,26,0
2324,2023-09-21 01:30:00,1931.07,1931.09,1930.18,1930.56,317,30,0
2325,2023-09-21 01:45:00,1930.55,1931.12,1930.4,1931.01,246,30,0
2326,2023-09-21 02:00:00,1931.0,1931.0,1929.49,1930.02,540,31,0
2327,2023-09-21 02:15:00,1930.03,1930.53,1929.68,1930.13,387,31,0
2328,2023-09-21 02:30:00,1930.13,1930.13,1929.81,1930.02,252,38,0
2329,2023-09-21 02:45:00,1930.05,1930.06,1929.14,1929.32,391,31,0
2330,2023-09-21 03:00:00,1929.34,1929.55,1928.69,1929.31,507,32,0
2331,2023-09-21 03:15:00,1929.32,1929.4,1926.61,1926.81,858,26,0
2332,2023-09-21 03:30:00,1926.77,1926.84,1924.83,1925.05,968,26,0
2333,2023-09-21 03:45:00,1925.03,1925.33,1924.43,1924.82,1047,30,0
2334,2023-09-21 04:00:00,1924.88,1925.28,1924.05,1925.04,2278,28,0
2335,2023-09-21 04:15:00,1925.01,1926.26,1924.32,1924.84,1577,26,0
2336,2023-09-21 04:30:00,1924.85,1926.56,1924.72,1926.37,1200,31,0
2337,2023-09-21 04:45:00,1926.38,1927.09,1926.29,1926.71,679,30,0
2338,2023-09-21 05:00:00,1926.69,1927.44,1926.63,1927.03,841,29,0
2339,2023-09-21 05:15:00,1927.06,1927.07,1926.31,1926.46,506,31,0
2340,2023-09-21 05:30:00,1926.45,1926.92,1925.58,1925.9,1074,29,0
2341,2023-09-21 05:45:00,1925.92,1927.02,1925.92,1926.53,950,32,0
2342,2023-09-21 06:00:00,1926.52,1927.69,1926.52,1927.49,703,35,0
2343,2023-09-21 06:15:00,1927.51,1928.33,1927.38,1927.69,908,27,0
2344,2023-09-21 06:30:00,1927.7,1928.52,1927.55,1928.2,577,32,0
2345,2023-09-21 06:45:00,1928.18,1928.21,1927.65,1928.19,422,31,0
2346,2023-09-21 07:00:00,1928.18,1928.3,1927.68,1928.09,556,32,0
2347,2023-09-21 07:15:00,1928.08,1928.43,1928.0,1928.3,435,34,0
2348,2023-09-21 07:30:00,1928.29,1928.4,1927.86,1928.05,466,34,0
2349,2023-09-21 07:45:00,1928.06,1928.28,1927.67,1927.83,483,32,0
2350,2023-09-21 08:00:00,1927.84,1928.37,1926.83,1928.28,716,30,0
2351,2023-09-21 08:15:00,1928.28,1928.58,1927.8,1928.23,625,33,0
2352,2023-09-21 08:30:00,1928.22,1928.74,1927.67,1928.02,920,33,0
2353,2023-09-21 08:45:00,1928.02,1928.82,1927.92,1928.6,719,34,0
2354,2023-09-21 09:00:00,1928.59,1929.04,1927.56,1928.96,1181,34,0
2355,2023-09-21 09:15:00,1928.95,1930.38,1928.85,1929.53,1024,32,0
2356,2023-09-21 09:30:00,1929.5,1929.55,1928.16,1928.47,1070,27,0
2357,2023-09-21 09:45:00,1928.47,1928.89,1927.78,1928.05,1247,27,0
2358,2023-09-21 10:00:00,1928.04,1928.58,1927.04,1927.66,1542,26,0
2359,2023-09-21 10:15:00,1927.65,1928.28,1927.33,1927.9,1315,29,0
2360,2023-09-21 10:30:00,1927.9,1927.92,1926.25,1926.41,1861,29,0
2361,2023-09-21 10:45:00,1926.41,1927.23,1926.33,1927.02,1439,31,0
2362,2023-09-21 11:00:00,1927.03,1927.3,1926.08,1926.62,1314,31,0
2363,2023-09-21 11:15:00,1926.62,1927.23,1926.01,1926.89,1199,26,0
2364,2023-09-21 11:30:00,1926.89,1926.89,1925.13,1925.16,782,26,0
2365,2023-09-21 11:45:00,1925.06,1925.46,1922.76,1922.98,1173,26,0
